barcode	filesize	read_length	reads_total	reads_mapped
TCGA-F7-A620-01A-11R-A28V-07	6749987036	48	138724968	131585434
TCGA-F7-A622-01A-11R-A28V-07	6904509594	48	142240105	138284198
TCGA-F7-A623-01A-11R-A28V-07	8248987490	48	166365274	161882012
TCGA-F7-A624-01A-22R-A30B-07	8219004819	48	177258391	171299389
TCGA-H7-7774-01A-21R-2081-07	8683160273	48	204439220	197517511
TCGA-H7-8501-01A-11R-2403-07	4017390841	48	95993217	92414880
TCGA-H7-8502-01A-11R-2403-07	4519929613	48	100401192	97267253
TCGA-H7-A6C4-01A-11R-A30B-07	7563077228	48	159091371	154202527
TCGA-H7-A76A-01A-51R-A34R-07	5402550811	48	120258638	111590609
TCGA-HD-7229-01A-11R-2016-07	6994795894	48	156896235	152051491
TCGA-HD-7753-01A-11R-2081-07	9122667099	48	211258133	203814082
TCGA-HD-7754-01A-11R-2081-07	9326644773	48	209602192	202359466
TCGA-HD-7917-01A-11R-2232-07	6284212735	48	157250967	153735978
TCGA-HD-8224-01A-11R-2403-07	4350925618	48	95463372	92554648
TCGA-HD-8314-01A-11R-2403-07	4811212968	48	109890203	106024173
TCGA-HD-8634-01A-11R-2403-07	5250726813	48	122860168	117837742
TCGA-HD-8635-01A-11R-2403-07	4798472736	48	110119029	106360993
TCGA-HD-A4C1-01A-11R-A24H-07	7037753764	48	151242483	147596578
TCGA-HD-A633-01A-11R-A28V-07	8364103625	48	169804704	165013079
TCGA-HD-A634-01A-11R-A28V-07	6233067663	48	127205489	123216743
TCGA-HD-A6I0-01A-11R-A31N-07	5324347134	48	119950904	108704048
TCGA-HL-7533-01A-11R-2232-07	7135584913	48	141069328	135132943
TCGA-IQ-7630-01A-11R-2081-07	8849819275	48	203584550	196376337
TCGA-IQ-7631-01A-11R-2081-07	7821398167	48	163363229	159855404
TCGA-IQ-7632-01A-11R-2081-07	7300867926	48	150091911	146636996
TCGA-IQ-A61E-01A-22R-A30B-07	6799302327	48	137269042	133025940
TCGA-IQ-A61G-01A-11R-A30B-07	7498230111	48	157877791	152270345
TCGA-IQ-A61H-01A-11R-A30B-07	6752371213	48	137711365	132133958
TCGA-IQ-A61I-01A-11R-A30B-07	6976029098	48	150348250	143359656
TCGA-IQ-A61J-01A-11R-A30B-07	7570095222	48	160837131	155941144
TCGA-IQ-A61O-01A-11R-A30B-07	7188419520	48	146819242	141890570
TCGA-IQ-A6SG-01A-12R-A34R-07	8706427039	48	193375748	186514588
TCGA-IQ-A6SH-01A-12R-A34R-07	6402691466	48	144113376	136551236
TCGA-KU-A66S-01A-21R-A30B-07	7139669637	48	144237858	139879456
TCGA-KU-A66T-01A-11R-A30B-07	8157710360	48	174092067	167470273
TCGA-KU-A6H7-01A-11R-A31N-07	6663139315	48	152055374	147223139
TCGA-KU-A6H8-01A-21R-A34R-07	6511727322	48	131384719	122776815
TCGA-MT-A51W-01A-21R-A266-07	6355584706	48	143988928	139632961
TCGA-MT-A51X-01A-11R-A266-07	6384046456	48	142410944	138391812
TCGA-MT-A67A-01A-11R-A30B-07	4597811085	48	99470578	96251002
TCGA-MT-A67D-01A-31R-A30B-07	7417642689	48	152654073	146671721
TCGA-MT-A67F-01A-11R-A30B-07	6041292714	48	129633416	126517752
TCGA-MT-A7BN-01A-12R-A34R-07	4538175889	48	94418324	84191070
TCGA-MZ-A5BI-01A-31R-A34R-07	6166493546	48	133959420	124581786
TCGA-MZ-A6I9-01A-11R-A31N-07	6171891079	48	141611111	134307185
TCGA-MZ-A7D7-01A-21R-A34R-07	5653994111	48	126834221	121344394
TCGA-P3-A5Q5-01A-11R-A28V-07	7411155717	48	152324480	147803156
TCGA-P3-A5Q6-01A-11R-A28V-07	7182908602	48	157942831	154521390
TCGA-P3-A5QA-01A-11R-A28V-07	6938744548	48	150990002	147855328
TCGA-P3-A5QE-01A-11R-A28V-07	7431240195	48	146638390	141754948
TCGA-P3-A5QF-01A-11R-A28V-07	6647911824	48	133666734	129671800
TCGA-P3-A6SW-01A-11R-A34R-07	5416054162	48	117593724	110477818
TCGA-P3-A6SX-01A-11R-A34R-07	8223336326	48	180388482	175291896
TCGA-P3-A6T0-01A-12R-A34R-07	8577279275	48	190985442	185429881
TCGA-P3-A6T2-01A-11R-A34R-07	7498067043	48	152544943	144532236
TCGA-P3-A6T3-01A-11R-A34R-07	6599097373	48	133183920	128195120
TCGA-P3-A6T4-01A-11R-A34R-07	7219784861	48	144256065	139297051
TCGA-P3-A6T5-01A-11R-A34R-07	7857017236	48	169642939	161922273
TCGA-P3-A6T6-01A-11R-A34R-07	3887890897	48	87267636	76553500
TCGA-P3-A6T7-01A-11R-A34R-07	7320106664	48	163382086	156353904
TCGA-P3-A6T8-01A-11R-A34R-07	6380880559	48	134853821	126750708
TCGA-QK-A64Z-01A-11R-A30B-07	7433048741	48	154404696	149647966
TCGA-QK-A652-01A-11R-A30B-07	7345830855	48	164093610	160134430
TCGA-QK-A6IH-01A-11R-A31N-07	6009490515	48	138892084	132325656
TCGA-QK-A6II-01A-11R-A31N-07	6938656637	48	165571311	155353232
TCGA-QK-A6IJ-01A-11R-A31N-07	6029119854	48	142550580	124329152
TCGA-QK-A6V9-01A-11R-A34R-07	7313719971	48	153661147	147402470
TCGA-QK-A6VB-01A-12R-A34R-07	9462626525	48	191959511	181398146
TCGA-QK-A6VC-01A-23R-A34R-07	6828541221	48	138092317	126594531
TCGA-RS-A6TO-01A-32R-A34R-07	5318251580	48	105638143	95406401
TCGA-RS-A6TP-01A-12R-A34R-07	8484877602	48	181402697	175517410
TCGA-T2-A6WX-01A-12R-A34R-07	5890538296	48	131719740	125602355
TCGA-T2-A6WZ-01A-21R-A34R-07	3769983894	48	87084249	73104176
TCGA-T2-A6X0-01A-11R-A34R-07	8669016508	48	189160690	183179180
TCGA-T2-A6X2-01A-12R-A34R-07	4401673128	48	97004019	93827134
TCGA-TN-A7HI-01A-11R-A34R-07	5446907937	48	113154121	100562302
TCGA-TN-A7HJ-01A-12R-A34R-07	6529349428	48	134207318	118531871
TCGA-TN-A7HL-01A-11R-A34R-07	8199225744	48	169192429	159013405
TCGA-UF-A718-01A-22R-A34R-07	7979034567	48	168758967	160930157
TCGA-UF-A719-01A-12R-A34R-07	8921557846	48	198882142	191713787
TCGA-UF-A71A-01A-22R-A34R-07	6944053885	48	155121111	148275681
TCGA-UF-A71B-01A-12R-A34R-07	5613218750	48	125225693	111538081
TCGA-UF-A71D-01A-12R-A34R-07	4214477037	48	82863787	78851184
TCGA-UF-A71E-01A-31R-A34R-07	7134935927	48	157914397	151666318
TCGA-UF-A7J9-01A-12R-A34R-07	7837710318	48	171769310	163504031
TCGA-UF-A7JA-01A-12R-A34R-07	4920895144	48	105319190	101732357
TCGA-UF-A7JC-01A-21R-A34R-07	5221261477	48	103542497	99275829
TCGA-UF-A7JD-01A-11R-A34R-07	4891957684	48	95933974	91652366
TCGA-UF-A7JF-01A-11R-A34R-07	5876329813	48	120381340	111292408
TCGA-UF-A7JJ-01A-11R-A34R-07	4900055443	48	106410636	101508486
TCGA-UF-A7JK-01A-11R-A34R-07	6062381288	48	131587007	127564641
TCGA-UF-A7JO-01A-11R-A34R-07	7723646944	48	172209613	166234857
TCGA-UF-A7JS-01A-11R-A34R-07	4238324794	48	103770791	76274309
TCGA-UF-A7JT-01A-11R-A34R-07	8355583633	48	170544626	161136908
TCGA-UF-A7JV-01A-11R-A34R-07	8355542705	48	180801783	173672549
TCGA-UP-A6WW-01A-12R-A34R-07	8680428509	48	187881792	180911163
TCGA-WA-A7GZ-01A-11R-A34R-07	7258267627	48	151970470	145212155
TCGA-WA-A7H4-01A-21R-A34R-07	4177909869	48	82441118	77940504
